PLAYER,POS,LANE AGILITY TIME,SHUTTLE RUN,THREE QUARTER SPRINT,STANDING VERTICAL LEAP,MAX VERTICAL LEAP,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,YEAR
Max Abmas,PG,10.9,3.49,3.12,28.5,32.5,5.50%,8,7.75,5'10.5'',5'11.75'',7'10.0'',161.8,6'1.75'',2021
Ochai Agbaji,SG,10.88,3.1,3.13,32,41.5,4.15%,9,8.75,6'4.5'',6'5.5'',8'7.5'',214.4,6'10.0'',2021
Marcus Bagley,SF,12.26,3.1,3.17,32.5,38.5,7.50%,8.75,8.5,6'6.0'',6'7.75'',8'6.5'',216.8,6'11.0'',2021
Scottie Barnes,SF,10.88,2.99,3.14,36,39.5,5.30%,9.25,10.25,6'7.0'',6'8.0'',9'0.0'',225.4,7'2.75'',2021
Charles Bassey,C,11.82,3.33,3.13,33,36,5.90%,9,9.5,6'9.25'',6'10.25'',8'11.5'',230.2,7'3.0'',2021
Brandon Boston Jr.,SF,-,-,-,-,-,6.00%,9,9.75,6'5.75'',6'7.0'',8'8.0'',188,6'10.75'',2021
James Bouknight,SG,-,-,-,-,-,5.50%,8.75,9,6'3.5'',6'4.75'',8'5.5'',190,6'8.25'',2021
Greg Brown III,PF,10.98,2.98,3.19,33.5,39,5.50%,9,9.75,6'7.25'',6'8.5'',8'11.0'',206.4,7'0.25'',2021
Jared Butler,PG,-,-,-,-,-,5.10%,8.5,8.25,6'2.25'',6'3.75'',8'2.5'',193,6'4.0'',2021
Julian Champagnie,SF,12.38,3.2,3.2,26,32,8.00%,9,8.5,6'6.5'',6'7.5'',8'10.5'',217.4,6'10.0'',2021
Justin Champagnie,PF,11.94,3.14,3.34,27,35,6.30%,8.75,8.5,6'5.75'',6'6.75'',8'8.0'',206.4,6'9.5'',2021
Josh Christopher,SG,11.32,3.3,3.14,29.5,37.5,5.80%,8.75,8.5,6'3.25'',6'4.5'',8'5.0'',214.8,6'9.25'',2021
Sharife Cooper,PG,-,-,-,-,-,-%,-,-,,,,-,,2021
Cade Cunningham,PG,-,-,-,-,-,-%,-,-,,,,-,,2021
Ayo Dosunmu,SG,11.51,3.24,3.23,32.5,39,4.90%,8.5,8.75,6'3.5'',6'5.0'',8'0.5'',194.4,6'10.25'',2021
David Duke Jr.,SG,11.21,3.19,3.08,30,39,5.90%,8.5,9,6'4.25'',6'5.5'',8'6.5'',203.6,6'8.75'',2021
Kessler Edwards,PF,11.3,3.38,3.25,28,37,4.30%,8.5,8.25,6'7.0'',6'8.0'',8'10.0'',203,6'11.25'',2021
Luka Garza,C,11.9,3.38,3.51,24,29.5,11.70%,9,9.25,6'10.0'',6'11.25'',8'11.5'',242.8,7'1.5'',2021
RaiQuan Gray,PF,11.69,3.3,3.25,26.5,31.5,17.30%,9.25,9,6'6.5'',6'7.75'',8'9.0'',268.6,6'10.75'',2021
Jalen Green,SG,-,-,-,-,-,-%,-,-,,,,-,,2021
Quentin Grimes,SG,11.09,3.33,3.07,30.5,38.5,6.60%,8.5,10,6'4.0'',6'5.25'',8'5.0'',209.8,6'8.0'',2021
Sam Hauser,SF,11.14,3.07,3.34,28.5,34.5,7.90%,8.25,9,6'6.75'',6'8.0'',8'6.0'',217.4,6'9.25'',2021
Aaron Henry,SF,11.68,3.18,3.07,29,35,5.60%,8.5,9.25,6'4.5'',6'6.0'',8'7.5'',209.6,6'10.75'',2021
Ariel Hukporti,C,12.2,3.53,3.12,24.5,31,8.10%,9.5,9.5,6'10.75'',7'0.0'',9'3.5'',246,7'2.5'',2021
Matt Hurt,PF,11.44,3.25,3.34,25.5,32.5,15.20%,9,9,6'8.5'',6'9.5'',8'10.5'',232.4,6'9.5'',2021
Nah'Shon Hyland,SG,10.53,3.17,3.1,26.5,34,5.80%,8.75,9,6'2.0'',6'3.5'',8'5.5'',169,6'9.25'',2021
Isaiah Jackson,C,-,-,-,-,-,-%,-,-,,,,-,,2021
